Date,Delhi_Onion,month_sin,month_cos
01-03-2015,1413,1,6.12303176911189e-17
01-04-2015,1335,0.866025403784439,-0.5
01-05-2015,1309,0.5,-0.866025403784439
01-06-2015,1569,1.22460635382238e-16,-1
01-07-2015,1880,-0.5,-0.866025403784439
01-08-2015,3381,-0.866025403784438,-0.5
01-09-2015,3763,-1,-1.83690953073357e-16
01-10-2015,2913,-0.866025403784439,0.5
01-11-2015,2090,-0.5,0.866025403784438
01-12-2015,1223,-2.44921270764475e-16,1
01-01-2016,1154,0.5,0.866025403784439
01-02-2016,898,0.866025403784439,0.5
01-03-2016,1042,1,6.12303176911189e-17
01-04-2016,822,0.866025403784439,-0.5
01-05-2016,590,0.5,-0.866025403784439
01-06-2016,697,1.22460635382238e-16,-1
01-07-2016,695,-0.5,-0.866025403784439
01-08-2016,730,-0.866025403784438,-0.5
01-09-2016,645,-1,-1.83690953073357e-16
01-10-2016,567,-0.866025403784439,0.5
01-11-2016,814,-0.5,0.866025403784438
01-12-2016,766,-2.44921270764475e-16,1
01-01-2017,754,0.5,0.866025403784439
01-02-2017,703,0.866025403784439,0.5
01-03-2017,741,1,6.12303176911189e-17
01-04-2017,734,0.866025403784439,-0.5
01-05-2017,654,0.5,-0.866025403784439
01-06-2017,722,1.22460635382238e-16,-1
01-07-2017,757,-0.5,-0.866025403784439
01-08-2017,1729,-0.866025403784438,-0.5
01-09-2017,1439,-1,-1.83690953073357e-16
01-10-2017,1740,-0.866025403784439,0.5
01-11-2017,2491,-0.5,0.866025403784438
01-12-2017,2638,-2.44921270764475e-16,1
01-01-2018,2756,0.5,0.866025403784439
01-02-2018,1708,0.866025403784439,0.5
01-03-2018,1028,1,6.12303176911189e-17
01-04-2018,721,0.866025403784439,-0.5
01-05-2018,707,0.5,-0.866025403784439
01-06-2018,1013,1.22460635382238e-16,-1
01-07-2018,1134,-0.5,-0.866025403784439
01-08-2018,1111,-0.866025403784438,-0.5
01-09-2018,942,-1,-1.83690953073357e-16
01-10-2018,1177,-0.866025403784439,0.5
01-11-2018,1027,-0.5,0.866025403784438
01-12-2018,780,-2.44921270764475e-16,1
01-01-2019,656,0.5,0.866025403784439
01-02-2019,641,0.866025403784439,0.5
01-03-2019,679,1,6.12303176911189e-17
01-04-2019,695,0.866025403784439,-0.5
01-05-2019,828,0.5,-0.866025403784439
01-06-2019,956,1.22460635382238e-16,-1
01-07-2019,1054,-0.5,-0.866025403784439
01-08-2019,1515,-0.866025403784438,-0.5
01-09-2019,2751,-1,-1.83690953073357e-16
01-10-2019,3031,-0.866025403784439,0.5
01-11-2019,4010,-0.5,0.866025403784438
01-12-2019,5743,-2.44921270764475e-16,1
01-01-2020,3384,0.5,0.866025403784439
01-02-2020,1911,0.866025403784439,0.5
01-03-2020,1646,1,6.12303176911189e-17
01-04-2020,1077,0.866025403784439,-0.5
01-05-2020,738,0.5,-0.866025403784439
01-06-2020,740,1.22460635382238e-16,-1
01-07-2020,957,-0.5,-0.866025403784439
01-08-2020,1122,-0.866025403784438,-0.5
01-09-2020,1888,-1,-1.83690953073357e-16
01-10-2020,3294,-0.866025403784439,0.5
01-11-2020,3425,-0.5,0.866025403784438
01-12-2020,1792,-2.44921270764475e-16,1
